	 Lmin 		 M 	  MAX_CYCLE 	 X 	 temps

repetition 1
	 37010.000000;	 32;	 10;		 11;	 7.942000; 
	 40428.000000;	 32;	 10;		 12;	 7.560000; 
	 35999.000000;	 32;	 10;		 13;	 7.399000; 
	 37913.000000;	 32;	 10;		 14;	 7.510000; 
	 43453.000000;	 32;	 10;		 15;	 7.112000; 
	 39224.000000;	 32;	 10;		 16;	 7.315000; 
	 42766.000000;	 32;	 10;		 17;	 7.810000; 
	 38665.000000;	 32;	 10;		 18;	 7.784000; 
	 37347.000000;	 32;	 10;		 19;	 7.555000; 
	 42466.000000;	 32;	 10;		 20;	 7.839000; 
	 40374.000000;	 32;	 10;		 21;	 7.750000; 
	 43089.000000;	 32;	 10;		 22;	 7.713000; 
	 40701.000000;	 32;	 10;		 23;	 7.656000; 
	 41584.000000;	 32;	 10;		 24;	 7.629000; 
	 40637.000000;	 32;	 10;		 25;	 7.755000; 
	 41077.000000;	 32;	 10;		 26;	 7.538000; 
	 37996.000000;	 32;	 10;		 27;	 7.453000; 
	 44685.000000;	 32;	 10;		 28;	 7.617000; 
	 44604.000000;	 32;	 10;		 29;	 7.405000; 
	 42188.000000;	 32;	 10;		 30;	 7.570000; 
	 38631.000000;	 32;	 10;		 31;	 7.480000; 
	 41368.000000;	 32;	 10;		 32;	 7.587000; 
	 34887.000000;	 33;	 10;		 2;	 8.004000; 
	 33281.000000;	 33;	 10;		 3;	 8.051000; 
	 34097.000000;	 33;	 10;		 4;	 7.917000; 
	 35081.000000;	 33;	 10;		 5;	 7.893000; 
	 40614.000000;	 33;	 10;		 6;	 7.831000; 
	 38241.000000;	 33;	 10;		 7;	 7.895000; 
	 39726.000000;	 33;	 10;		 8;	 7.938000; 
	 42437.000000;	 33;	 10;		 9;	 7.897000; 
	 39595.000000;	 33;	 10;		 10;	 7.698000; 
	 38559.000000;	 33;	 10;		 11;	 7.516000; 
	 38555.000000;	 33;	 10;		 12;	 7.886000; 
	 39487.000000;	 33;	 10;		 13;	 7.893000; 
	 37933.000000;	 33;	 10;		 14;	 7.700000; 
	 41069.000000;	 33;	 10;		 15;	 8.171000; 
	 39995.000000;	 33;	 10;		 16;	 8.196000; 
	 40199.000000;	 33;	 10;		 17;	 7.760000; 
	 39605.000000;	 33;	 10;		 18;	 8.035000; 
	 40073.000000;	 33;	 10;		 19;	 7.970000; 
	 41591.000000;	 33;	 10;		 20;	 7.854000; 
	 37470.000000;	 33;	 10;		 21;	 7.858000; 
	 41130.000000;	 33;	 10;		 22;	 7.831000; 
	 41882.000000;	 33;	 10;		 23;	 7.781000; 
	 39154.000000;	 33;	 10;		 24;	 7.945000; 
	 40272.000000;	 33;	 10;		 25;	 7.797000; 
	 40890.000000;	 33;	 10;		 26;	 7.686000; 
	 41050.000000;	 33;	 10;		 27;	 7.905000; 
	 41970.000000;	 33;	 10;		 28;	 7.959000; 
	 40080.000000;	 33;	 10;		 29;	 7.867000; 
	 40421.000000;	 33;	 10;		 30;	 7.902000; 
	 43281.000000;	 33;	 10;		 31;	 7.751000; 
	 41038.000000;	 33;	 10;		 32;	 7.667000; 
	 39453.000000;	 33;	 10;		 33;	 7.722000; 
	 38467.000000;	 34;	 10;		 2;	 7.978000; 
	 40023.000000;	 34;	 10;		 3;	 8.048000; 
	 37507.000000;	 34;	 10;		 4;	 8.185000; 
	 37588.000000;	 34;	 10;		 5;	 8.227000; 
	 35961.000000;	 34;	 10;		 6;	 7.567000; 
	 38674.000000;	 34;	 10;		 7;	 7.972000; 
	 37964.000000;	 34;	 10;		 8;	 7.880000; 
	 36716.000000;	 34;	 10;		 9;	 7.924000; 
	 38024.000000;	 34;	 10;		 10;	 8.121000; 
	 34366.000000;	 34;	 10;		 11;	 8.078000; 
	 38064.000000;	 34;	 10;		 12;	 7.935000; 
	 35503.000000;	 34;	 10;		 13;	 8.069000; 
	 41851.000000;	 34;	 10;		 14;	 7.801000; 
	 40006.000000;	 34;	 10;		 15;	 8.012000; 
	 35505.000000;	 34;	 10;		 16;	 8.106000; 
	 40315.000000;	 34;	 10;		 17;	 8.025000; 
	 42319.000000;	 34;	 10;		 18;	 8.096000; 
	 40982.000000;	 34;	 10;		 19;	 8.157000; 
	 42047.000000;	 34;	 10;		 20;	 8.154000; 
	 42781.000000;	 34;	 10;		 21;	 8.093000; 
	 40602.000000;	 34;	 10;		 22;	 7.815000; 
	 43493.000000;	 34;	 10;		 23;	 8.081000; 
	 43329.000000;	 34;	 10;		 24;	 8.049000; 
	 41551.000000;	 34;	 10;		 25;	 8.123000; 
	 38673.000000;	 34;	 10;		 26;	 8.067000; 
	 41495.000000;	 34;	 10;		 27;	 8.034000; 
	 42109.000000;	 34;	 10;		 28;	 7.985000; 
	 43151.000000;	 34;	 10;		 29;	 8.006000; 
	 41772.000000;	 34;	 10;		 30;	 7.878000; 
	 43043.000000;	 34;	 10;		 31;	 8.026000; 
	 44579.000000;	 34;	 10;		 32;	 8.174000; 
	 40513.000000;	 34;	 10;		 33;	 8.255000; 
	 42319.000000;	 34;	 10;		 34;	 8.328000; 
	 38444.000000;	 35;	 10;		 2;	 8.223000; 
	 37489.000000;	 35;	 10;		 3;	 8.310000; 
	 36854.000000;	 35;	 10;		 4;	 8.277000; 
	 39523.000000;	 35;	 10;		 5;	 8.473000; 
	 36878.000000;	 35;	 10;		 6;	 8.403000; 
	 40528.000000;	 35;	 10;		 7;	 8.098000; 
	 36453.000000;	 35;	 10;		 8;	 8.244000; 
	 38524.000000;	 35;	 10;		 9;	 8.278000; 
	 38928.000000;	 35;	 10;		 10;	 7.999000; 
	 37196.000000;	 35;	 10;		 11;	 8.267000; 
	 35032.000000;	 35;	 10;		 12;	 8.443000; 
	 34864.000000;	 35;	 10;		 13;	 8.199000; 
	 35466.000000;	 35;	 10;		 14;	 8.400000; 
	 36190.000000;	 35;	 10;		 15;	 8.344000; 
	 40042.000000;	 35;	 10;		 16;	 8.367000; 
	 42506.000000;	 35;	 10;		 17;	 8.221000; 
	 37173.000000;	 35;	 10;		 18;	 8.465000; 
	 39871.000000;	 35;	 10;		 19;	 8.201000; 
	 38770.000000;	 35;	 10;		 20;	 8.200000; 
	 39779.000000;	 35;	 10;		 21;	 8.122000; 
	 43410.000000;	 35;	 10;		 22;	 7.878000; 
	 39407.000000;	 35;	 10;		 23;	 8.176000; 
	 40425.000000;	 35;	 10;		 24;	 8.363000; 
	 39931.000000;	 35;	 10;		 25;	 8.597000; 
	 41358.000000;	 35;	 10;		 26;	 8.351000; 
	 41881.000000;	 35;	 10;		 27;	 8.246000; 
	 40548.000000;	 35;	 10;		 28;	 8.168000; 
	 41564.000000;	 35;	 10;		 29;	 7.857000; 
	 41733.000000;	 35;	 10;		 30;	 7.918000; 
	 42798.000000;	 35;	 10;		 31;	 7.967000; 
	 43049.000000;	 35;	 10;		 32;	 8.018000; 
	 43054.000000;	 35;	 10;		 33;	 7.935000; 
	 42470.000000;	 35;	 10;		 34;	 7.940000; 
	 38156.000000;	 35;	 10;		 35;	 7.883000; 
	 30984.000000;	 36;	 10;		 2;	 8.115000; 
	 40344.000000;	 36;	 10;		 3;	 8.142000; 
	 38183.000000;	 36;	 10;		 4;	 8.480000; 
	 36764.000000;	 36;	 10;		 5;	 8.207000; 
	 43542.000000;	 36;	 10;		 6;	 8.310000; 
	 37492.000000;	 36;	 10;		 7;	 8.556000; 
	 32706.000000;	 36;	 10;		 8;	 8.395000; 
	 37031.000000;	 36;	 10;		 9;	 8.117000; 
	 41700.000000;	 36;	 10;		 10;	 8.668000; 
	 38281.000000;	 36;	 10;		 11;	 8.675000; 
	 37149.000000;	 36;	 10;		 12;	 8.495000; 
	 41617.000000;	 36;	 10;		 13;	 8.441000; 
	 32733.000000;	 36;	 10;		 14;	 8.350000; 
	 39216.000000;	 36;	 10;		 15;	 8.820000; 
	 39995.000000;	 36;	 10;		 16;	 8.681000; 
	 39739.000000;	 36;	 10;		 17;	 8.586000; 
	 39125.000000;	 36;	 10;		 18;	 8.364000; 
	 38545.000000;	 36;	 10;		 19;	 8.668000; 
	 40024.000000;	 36;	 10;		 20;	 8.798000; 
	 40448.000000;	 36;	 10;		 21;	 8.742000; 
	 40629.000000;	 36;	 10;		 22;	 8.534000; 
	 38775.000000;	 36;	 10;		 23;	 8.358000; 
	 41121.000000;	 36;	 10;		 24;	 8.331000; 
	 43001.000000;	 36;	 10;		 25;	 8.622000; 
	 41356.000000;	 36;	 10;		 26;	 8.586000; 
	 41888.000000;	 36;	 10;		 27;	 8.565000; 
	 41399.000000;	 36;	 10;		 28;	 8.549000; 
	 41120.000000;	 36;	 10;		 29;	 8.434000; 
	 41776.000000;	 36;	 10;		 30;	 8.359000; 
	 39065.000000;	 36;	 10;		 31;	 8.648000; 
	 42733.000000;	 36;	 10;		 32;	 8.397000; 
	 43179.000000;	 36;	 10;		 33;	 8.564000; 
	 41613.000000;	 36;	 10;		 34;	 8.544000; 
	 42657.000000;	 36;	 10;		 35;	 8.781000; 
	 41913.000000;	 36;	 10;		 36;	 7.909000; 
	 39560.000000;	 37;	 10;		 2;	 8.232000; 
	 32945.000000;	 37;	 10;		 3;	 8.733000; 
	 38325.000000;	 37;	 10;		 4;	 8.657000; 
	 40095.000000;	 37;	 10;		 5;	 8.445000; 
	 38998.000000;	 37;	 10;		 6;	 8.937000; 
	 38923.000000;	 37;	 10;		 7;	 9.008000; 
	 37219.000000;	 37;	 10;		 8;	 8.995000; 
	 33868.000000;	 37;	 10;		 9;	 8.660000; 
	 38773.000000;	 37;	 10;		 10;	 8.920000; 
	 39188.000000;	 37;	 10;		 11;	 8.852000; 
	 39344.000000;	 37;	 10;		 12;	 8.976000; 
	 38994.000000;	 37;	 10;		 13;	 8.773000; 
	 41388.000000;	 37;	 10;		 14;	 8.596000; 
	 38541.000000;	 37;	 10;		 15;	 8.641000; 
	 39472.000000;	 37;	 10;		 16;	 8.991000; 
	 42003.000000;	 37;	 10;		 17;	 8.829000; 
	 39563.000000;	 37;	 10;		 18;	 9.020000; 
	 36770.000000;	 37;	 10;		 19;	 8.897000; 
	 40057.000000;	 37;	 10;		 20;	 8.645000; 
	 40056.000000;	 37;	 10;		 21;	 8.951000; 
	 42653.000000;	 37;	 10;		 22;	 8.969000; 
	 39495.000000;	 37;	 10;		 23;	 8.873000; 
	 39080.000000;	 37;	 10;		 24;	 8.663000; 
	 43337.000000;	 37;	 10;		 25;	 8.901000; 
	 37858.000000;	 37;	 10;		 26;	 8.546000; 
	 40993.000000;	 37;	 10;		 27;	 8.732000; 
	 41989.000000;	 37;	 10;		 28;	 8.154000; 
	 41128.000000;	 37;	 10;		 29;	 8.407000; 
	 43499.000000;	 37;	 10;		 30;	 8.783000; 
	 43821.000000;	 37;	 10;		 31;	 8.781000; 
	 42391.000000;	 37;	 10;		 32;	 9.009000; 
	 43328.000000;	 37;	 10;		 33;	 8.794000; 
	 39488.000000;	 37;	 10;		 34;	 8.652000; 
	 40544.000000;	 37;	 10;		 35;	 8.878000; 
	 42878.000000;	 37;	 10;		 36;	 8.739000; 
	 40348.000000;	 37;	 10;		 37;	 8.894000; 
	 29877.000000;	 38;	 10;		 2;	 9.099000; 
	 34455.000000;	 38;	 10;		 3;	 8.653000; 
	 38994.000000;	 38;	 10;		 4;	 8.752000; 
	 31403.000000;	 38;	 10;		 5;	 8.782000; 
	 39291.000000;	 38;	 10;		 6;	 8.642000; 
	 40307.000000;	 38;	 10;		 7;	 8.704000; 
	 40047.000000;	 38;	 10;		 8;	 8.666000; 
	 39960.000000;	 38;	 10;		 9;	 8.741000; 
	 38591.000000;	 38;	 10;		 10;	 8.682000; 
	 32428.000000;	 38;	 10;		 11;	 8.734000; 
	 37638.000000;	 38;	 10;		 12;	 8.663000; 
	 38240.000000;	 38;	 10;		 13;	 8.594000; 
	 39405.000000;	 38;	 10;		 14;	 8.761000; 
	 42791.000000;	 38;	 10;		 15;	 8.611000; 
	 40778.000000;	 38;	 10;		 16;	 8.723000; 
	 36473.000000;	 38;	 10;		 17;	 8.728000; 
	 41257.000000;	 38;	 10;		 18;	 8.663000; 
	 40625.000000;	 38;	 10;		 19;	 8.622000; 
	 35929.000000;	 38;	 10;		 20;	 8.893000; 
	 41254.000000;	 38;	 10;		 21;	 9.211000; 
	 40580.000000;	 38;	 10;		 22;	 9.281000; 
	 37519.000000;	 38;	 10;		 23;	 8.783000; 
	 40973.000000;	 38;	 10;		 24;	 9.396000; 
	 40246.000000;	 38;	 10;		 25;	 8.094000; 
	 41462.000000;	 38;	 10;		 26;	 8.047000; 
	 38402.000000;	 38;	 10;		 27;	 7.049000; 
	 39659.000000;	 38;	 10;		 28;	 8.575000; 
	 39439.000000;	 38;	 10;		 29;	 8.920000; 
	 42733.000000;	 38;	 10;		 30;	 8.276000; 
	 39823.000000;	 38;	 10;		 31;	 8.537000; 
	 42631.000000;	 38;	 10;		 32;	 8.510000; 
	 38062.000000;	 38;	 10;		 33;	 8.600000; 
	 40960.000000;	 38;	 10;		 34;	 8.568000; 
	 42004.000000;	 38;	 10;		 35;	 8.525000; 
	 40246.000000;	 38;	 10;		 36;	 8.277000; 
	 42828.000000;	 38;	 10;		 37;	 8.533000; 
	 42840.000000;	 38;	 10;		 38;	 8.515000; 
	 37976.000000;	 39;	 10;		 2;	 8.704000; 
	 36521.000000;	 39;	 10;		 3;	 8.751000; 
	 32226.000000;	 39;	 10;		 4;	 8.426000; 
	 36086.000000;	 39;	 10;		 5;	 8.738000; 
	 35294.000000;	 39;	 10;		 6;	 8.683000; 
