	 Lmin 		 M 	  MAX_CYCLE 	 X 	 temps

repetition 1
	 36973.000000;	 16;	 10;		 6;	 3.707000; 
	 38446.000000;	 16;	 10;		 7;	 3.673000; 
	 36934.000000;	 16;	 10;		 8;	 3.676000; 
	 40056.000000;	 16;	 10;		 9;	 3.686000; 
	 42465.000000;	 16;	 10;		 10;	 3.678000; 
	 37288.000000;	 16;	 10;		 11;	 3.680000; 
	 40746.000000;	 16;	 10;		 12;	 3.634000; 
	 38309.000000;	 16;	 10;		 13;	 3.686000; 
	 41130.000000;	 16;	 10;		 14;	 3.699000; 
	 43686.000000;	 16;	 10;		 15;	 3.698000; 
	 40016.000000;	 16;	 10;		 16;	 3.664000; 
	 39097.000000;	 17;	 10;		 2;	 3.920000; 
	 27186.000000;	 17;	 10;		 3;	 3.911000; 
	 38981.000000;	 17;	 10;		 4;	 3.920000; 
	 40328.000000;	 17;	 10;		 5;	 3.902000; 
	 41956.000000;	 17;	 10;		 6;	 3.906000; 
	 41686.000000;	 17;	 10;		 7;	 3.909000; 
	 37486.000000;	 17;	 10;		 8;	 3.919000; 
	 40239.000000;	 17;	 10;		 9;	 3.897000; 
	 46033.000000;	 17;	 10;		 10;	 3.907000; 
	 43650.000000;	 17;	 10;		 11;	 3.897000; 
	 37450.000000;	 17;	 10;		 12;	 3.913000; 
	 37356.000000;	 17;	 10;		 13;	 3.905000; 
	 43327.000000;	 17;	 10;		 14;	 3.922000; 
	 40370.000000;	 17;	 10;		 15;	 3.872000; 
	 44119.000000;	 17;	 10;		 16;	 3.916000; 
	 42754.000000;	 17;	 10;		 17;	 3.938000; 
	 26106.000000;	 18;	 10;		 2;	 4.421000; 
	 37842.000000;	 18;	 10;		 3;	 4.490000; 
	 38050.000000;	 18;	 10;		 4;	 4.622000; 
	 40455.000000;	 18;	 10;		 5;	 4.468000; 
	 39717.000000;	 18;	 10;		 6;	 4.366000; 
	 39480.000000;	 18;	 10;		 7;	 4.400000; 
	 41756.000000;	 18;	 10;		 8;	 4.666000; 
	 41835.000000;	 18;	 10;		 9;	 3.946000; 
	 41694.000000;	 18;	 10;		 10;	 3.741000; 
	 42240.000000;	 18;	 10;		 11;	 3.134000; 
	 41853.000000;	 18;	 10;		 12;	 3.693000; 
	 43412.000000;	 18;	 10;		 13;	 4.188000; 
	 41369.000000;	 18;	 10;		 14;	 4.255000; 
	 40756.000000;	 18;	 10;		 15;	 4.252000; 
	 40517.000000;	 18;	 10;		 16;	 4.333000; 
	 43571.000000;	 18;	 10;		 17;	 4.326000; 
	 41226.000000;	 18;	 10;		 18;	 4.287000; 
	 32776.000000;	 19;	 10;		 2;	 4.629000; 
	 38638.000000;	 19;	 10;		 3;	 4.505000; 
	 38382.000000;	 19;	 10;		 4;	 4.541000; 
	 38096.000000;	 19;	 10;		 5;	 4.682000; 
	 41932.000000;	 19;	 10;		 6;	 4.522000; 
	 37296.000000;	 19;	 10;		 7;	 4.521000; 
	 36527.000000;	 19;	 10;		 8;	 4.593000; 
	 44676.000000;	 19;	 10;		 9;	 4.525000; 
	 39589.000000;	 19;	 10;		 10;	 4.600000; 
	 39547.000000;	 19;	 10;		 11;	 4.501000; 
	 41332.000000;	 19;	 10;		 12;	 4.525000; 
	 41563.000000;	 19;	 10;		 13;	 4.507000; 
	 42843.000000;	 19;	 10;		 14;	 4.610000; 
	 44594.000000;	 19;	 10;		 15;	 4.555000; 
